id,productType,source,name,brand,brandName,brandCode,slug,depositAmount,activityLevel,reviewsRating,reviewsTotal,reviewsSource,lowestOptionRoomType,lowestOptionPrice,lowestOptionFullPrice,fkSeasonId,fkTourOptionId,created_at,updated_at
tour-a75a1803-bd0b-417f-800b-7f03ec20cec8,connection_tour,ttc,Scenic Wonders of Newfoundland and Labrador,trafalgar,Trafalgar,trafalgar,scenic-wonders-of-newfoundland-and-labrador,500.0,moderate,10.0,2,le_tour_operator,twin,4495.5,4995.0,276f35ae-da0c-40e8-8036-c28ab796efc6,ab88331a-bc9d-40c2-80c0-52ae971818cb,2023-09-25 11:50:21,2023-09-25 11:50:21
tour-a75d4095-952c-4e33-803d-90eca6169338,connection_tour,ttc,National Park Wonders,trafalgar,Trafalgar,trafalgar,national-park-wonders,500.0,,10.0,2,le_tour_operator,twin,3662.1,4069.0,2e0f9810-169a-4d2a-b927-1841635b6d79,750ba787-af7b-48b2-9368-676697c870c5,2023-09-25 11:50:23,2023-09-25 11:50:23
tour-ab9ba15d-680d-459c-9c64-9c8053c66591,connection_tour,ttc,South America Revealed,trafalgar,Trafalgar,trafalgar,south-america-revealed,500.0,,10.0,2,le_tour_operator,twin,6446.0,6446.0,91db66a3-516c-4d12-ab29-8a424d4a5d0d,794f5c61-315c-4314-9554-2bcf354f5b41,2023-09-25 11:50:22,2023-09-25 11:50:22
tour-abfbd527-dd66-46b4-962b-31156cd7ca37,connection_tour,ttc,Majestic Europe,trafalgar,Trafalgar,trafalgar,majestic-europe,500.0,,10.0,2,le_tour_operator,twin,4973.0,4973.0,fb6a8960-1744-4d4f-ab13-d13aa9fe1228,fb77508b-92a3-43cb-b668-5a0c5886aca3,2023-09-25 11:50:21,2023-09-25 11:50:21
tour-ac8541c3-1e6c-4895-889a-813058846afd,connection_tour,ttc,Spectacular National Parks of Eastern USA,insightvacations,Insight Vacations,insightvacations,spectacular-national-parks-of-eastern-usa,500.0,,0.0,0,luxuryescapes,twin,3915.0,4350.0,c6be784a-abc6-45d2-9240-f23da77c5c19,cac89d92-18af-4c91-a400-de843b7a4484,2023-09-25 11:50:20,2023-09-25 11:50:20
tour-ad896af8-6f68-4093-8629-35fbe90ce47f,connection_tour,ttc,Best of Britain,trafalgar,Trafalgar,trafalgar,best-of-britain,500.0,,10.0,2,le_tour_operator,twin,2925.0,2925.0,f5c8c2f8-3ca7-4a81-b3ad-b33b32e76382,64476d66-e785-4239-9cb1-80573d681ce7,2023-09-25 11:50:26,2023-09-25 11:50:26
tour-ae25093f-0f73-45f2-8b81-c58791a4e98c,connection_tour,ttc,Best of Poland,trafalgar,Trafalgar,trafalgar,best-of-poland,500.0,,10.0,2,le_tour_operator,twin,2047.5,2275.0,a8dae605-38c7-4914-abf3-df39b6e2462f,84cd630a-934a-4a4d-a7f4-ebb3b9901546,2023-09-25 11:50:22,2023-09-25 11:50:22
tour-af159ce6-8050-4b94-867a-6251601a7038,connection_tour,ttc,National Parks and Native Trails of the Dakotas,trafalgar,Trafalgar,trafalgar,national-parks-and-native-trails-of-the-dakotas,500.0,,10.0,2,le_tour_operator,twin,3303.0,3670.0,186696d9-7108-491b-a030-3ce5d5243f55,ddd2a39b-a3e7-459a-9d29-663dc8248ac7,2023-09-25 11:50:20,2023-09-25 11:50:20
tour-b05bed42-52ab-4191-b295-6b19d4a4871b,connection_tour,ttc,Contrasts of Switzerland,trafalgar,Trafalgar,trafalgar,contrasts-of-switzerland,500.0,,10.0,2,le_tour_operator,twin,3937.5,4375.0,09f9b6bc-7a22-4dd6-87cf-b604438b90c2,e62eb585-eed7-4634-a883-24bc26d7bf11,2023-09-25 11:50:25,2023-09-25 11:50:25
tour-b16cf533-0d56-41ec-9e3e-5cece6f3535b,connection_tour,ttc,Swiss Delight,trafalgar,Trafalgar,trafalgar,swiss-delight,500.0,,10.0,2,le_tour_operator,twin,2717.1,3019.0,463a40b5-b76d-4f98-b919-c8c4e7689bd7,839de714-2cd1-4345-86ae-2bac3ed7a704,2023-09-25 11:50:25,2023-09-25 11:50:25
tour-b1820f93-61e0-4711-a0df-3f70d9da84ee,connection_tour,ttc,Treasures of Ireland,trafalgar,Trafalgar,trafalgar,treasures-of-ireland,500.0,,10.0,2,le_tour_operator,twin,1705.5,1895.0,d6a5a521-79ed-4bd3-9955-76ba149aa522,8bdd37b0-bb26-48ed-b16b-152f1aba8482,2023-09-25 11:50:25,2023-09-25 11:50:25
tour-b1d3ff04-6a0c-4918-a193-6990da596c2e,connection_tour,ttc,Great Ocean Road & Kangaroo Island Escape,trafalgar,Trafalgar,trafalgar,great-ocean-road-and-kangaroo-island-escape,500.0,,10.0,2,le_tour_operator,twin,2732.0,2732.0,4f4d8c26-1702-4f9e-bf50-8db0a2b26e8f,27ca1062-0683-4bd4-ac1e-eb5c390e6c15,2023-09-25 11:50:23,2023-09-25 11:50:23
tour-b23987f6-b029-4ca5-b7c0-f1279c0f34ed,connection_tour,ttc,Contrasts of Italy,trafalgar,Trafalgar,trafalgar,contrasts-of-italy,500.0,,10.0,2,le_tour_operator,twin,3126.6,3474.0,d4ef394d-68f8-4c4b-903f-af5e365f4285,3ff20344-20df-4a69-b561-12aec824ebf3,2023-09-25 11:50:22,2023-09-25 11:50:22
tour-b36e8c6f-74a4-4377-bf5e-9f449d464ac2,connection_tour,ttc,Best of Italy,insightvacations,Insight Vacations,insightvacations,best-of-italy,500.0,,0.0,0,luxuryescapes,twin,2995.0,2995.0,6b23e54c-b7c2-4b76-a4f5-264afbe6e90d,9b9563b4-cc60-4e6a-b435-528187b392fb,2023-09-25 11:50:23,2023-09-25 11:50:23
tour-b39796e5-250d-47f8-8f64-2e04b28cd29e,connection_tour,ttc,Peru With Machu Picchu,insightvacations,Insight Vacations,insightvacations,peru-with-machu-picchu,500.0,,0.0,0,luxuryescapes,twin,3822.4,4225.0,6c6b6476-a1ad-45dd-97a0-2c48ae3a5ef2,12d20b36-886f-42b0-ae63-10cabf300615,2023-09-25 11:50:23,2023-09-25 11:50:23
tour-b3d08e96-122a-40ee-ab12-3db3661636e0,connection_tour,ttc,America's Great Desert National Parks,trafalgar,Trafalgar,trafalgar,americas-great-desert-national-parks,500.0,,10.0,2,le_tour_operator,twin,3100.5,3445.0,ad9934b4-4335-492d-97aa-355ee6d4ab75,9a49aaeb-889a-4e9c-a9df-cf0d29405269,2023-09-25 11:50:25,2023-09-25 11:50:25
